NameOLD,NickNameOLD,Name,Nickname
Abel,Abe,abel,abe
Absalom,Abe,absalom,abe
Abraham,Abner,abraham,abner
Adam,"Addy, Atty",adam,"addy, atty"
Albert,Al,albert,al
allan,,allan,al
allen,,allen,al
alfred,,alfred,al
Alexander,"Alec, Alex, Alick, Ally",alexander,"alec, alex, alick, ally"
Alfred,Alf,alfred,alf
Andrew,"Andy, Andie",andrew,"andy, andie"
Alexander,Alex,alexander,alex
Archibald,Archie,archibald,archie
Arnold,Arnie,arnold,arnie
Arthur,Art,arthur,art
Archibald,Baldie,archibald,baldie
Barnabas,"Barnie, Barney",barnabas,"barnie, barney"
Bartholomew,Bart,bartholomew,bart
Benedict,Ben,benedict,ben
Benjamin,Ben,benjamin,ben
Ebenezer,Ben,ebenezer,ben
Ebenezer,Benezer,ebenezer,benezer
Bernard,"Bern, Bernie",bernard,"bern, bernie"
Bertram,"Bert, Bertie",bertram,"bert, bertie"
William,"Bill, Billie",william,"bill, billie"
Robert,Bob,robert,bob
Abraham,"Bram, Bramley",abraham,"bram, bramley"
Caleb,Cal,caleb,cal
Charles,"Charlie, Chuck",charles,"charlie, chuck"
Christian,Chris,christian,chris
Christopher,Chris,christopher,chris
Clement,Clem,clement,clem
Clifford,Cliff,clifford,cliff
Nicholas,Colin,nicholas,colin
Cuthbert,"Cuddie, Cuddy",cuthbert,"cuddie, cuddy"
Cyprian,Cy,cyprian,cy
Cyril,Cy,cyril,cy
Cyrus,Cy,cyrus,cy
David,"Dai, Dave, Davie",david,"dai, dave, davie"
Daniel,"Dan, Danny",daniel,"dan, danny"
Andrew,"Dand, Dandie",andrew,"dand, dandie"
Donald,Daniel,donald,daniel
Frederick,Derick,frederick,derick
Desmond,Des,desmond,des
David,Dewi,david,dewi
Richard,Dick,richard,dick
Benedict,Dixon,benedict,dixon
Robert,Dobb,robert,dobb
George,"Dod, Doddy",george,"dod, doddy"
Roger,Dodge,roger,dodge
Dominick,Dom,dominick,dom
Donald,"Don, Donnie",donald,"don, donnie"
Daniel,Donald,daniel,donald
Douglas,Doug,douglas,doug
Andrew,Drew,andrew,drew
Humphrey,Dump,humphrey,dump
Marmaduke,Duke,marmaduke,duke
Ebenezer,Eben,ebenezer,eben
"Edgar, Edwin","Ed, Eddie","edgar, edwin","ed, eddie"
Edward,"Ed, Eddie",edward,"ed, eddie"
Edmund,"Ed, Eddie",edmund,"ed, eddie"
Elliot,Eli,elliot,eli
Elias,Eli,elias,eli
Elijah,Eli,elijah,eli
Erasmus,Elmo,erasmus,elmo
Ephraim,Eph,ephraim,eph
Frederick,Erik,frederick,erik
Ernest,Ern,ernest,ern
Owen,Ewen,owen,ewen
Francis,"Frank, Frankie",francis,"frank, frankie"
Alfred,Fred,alfred,fred
Frederick,Fred,frederick,fred
Gabriel,"Gabe, Gaby",gabriel,"gabe, gaby"
Gareth,"Gary, Garret, Garth",gareth,"gary, garret, garth"
Gerard,"Gary, Garret, Garth",gerard,"gary, garret, garth"
Jedidiah,Ged,jedidiah,ged
Eugene,Gene,eugene,gene
Geoffrey,Geoff,geoffrey,geoff
Jeffrey,Giff,jeffrey,giff
Jarrett,Gerard,jarrett,gerard
